seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
3,1.00E-06,deep,19818,3125,6401,44,0.546675729,0.692050919,0.612708829,0.618608556,0.007161719,0.639790133,0.006940861,0.522672494,0.007213805,0.634911888,0.634415792,0.495274806,0.180016553,0.348379769,0.227107437,0.338018095,0.146102847,0.369490077,0.247527523,0.259060796,0.189220321,0.512733443,0.06229026,0.493264972,0.029368702,0.428167979,0.05924985,0.48558734,0.464510828,0.368425153
3,1.00E-06,deep,19818,3125,6401,35,0.55746398,0.687216789,0.612736303,0.602771985,0.009248763,0.62268327,0.009953548,0.51007653,0.009271676,0.621655889,0.620873512,0.483604983,0.187252467,0.316062611,0.237223351,0.301314938,0.149012624,0.339055783,0.250311282,0.27368259,0.191625106,0.497584128,0.072937648,0.497494001,0.028730015,0.411428983,0.080330443,0.491178188,0.469735418,0.374726902
3,1.00E-06,deep,19818,3125,6401,37,0.554600629,0.68785341,0.613206047,0.607833144,0.007979315,0.627006359,0.009094898,0.513080439,0.008232334,0.625358167,0.62458823,0.486917893,0.190729451,0.323285586,0.235420484,0.312369522,0.151848503,0.343108276,0.255323224,0.270590841,0.195600118,0.500645416,0.072906117,0.496584856,0.028624984,0.413737341,0.07332464,0.491216069,0.469010087,0.373948667
3,1.00E-06,deep,19818,3125,6401,45,0.545498223,0.69236496,0.613532863,0.618918505,0.007339856,0.641314705,0.006694574,0.522042515,0.007527755,0.635649036,0.635516052,0.496034962,0.175069841,0.355960899,0.226227651,0.338142215,0.141034137,0.373446858,0.239821528,0.257847021,0.18330109,0.512663883,0.068008505,0.492997701,0.029698687,0.42591612,0.067442923,0.483164849,0.463805088,0.36625597
3,1.00E-06,deep,19818,3125,6401,39,0.552207826,0.689341847,0.61391483,0.602721502,0.008979164,0.630937918,0.008400036,0.508989958,0.009037222,0.628200444,0.627699528,0.489580049,0.17539092,0.349777444,0.233114087,0.320347965,0.141155912,0.371492532,0.250194642,0.267149581,0.191852382,0.506440249,0.059782466,0.495709778,0.028747282,0.420340592,0.057207944,0.487677401,0.467791831,0.370164605
3,1.00E-06,deep,19818,3125,6401,33,0.560234385,0.685898153,0.614271605,0.601446565,0.008830256,0.618156902,0.010857353,0.507850685,0.008992592,0.617714263,0.616897881,0.480207278,0.193717802,0.303505647,0.23900309,0.290862296,0.154309959,0.31601411,0.24636174,0.276937995,0.187748907,0.501961939,0.071181765,0.498077345,0.028920748,0.413937384,0.078260872,0.493209719,0.470052375,0.376953223
3,1.00E-06,deep,19818,3125,6401,41,0.549884496,0.690707135,0.614360829,0.615147101,0.007391677,0.634543806,0.007811266,0.519454154,0.007600583,0.629934798,0.63034543,0.49102245,0.184102254,0.350367634,0.230404271,0.323576776,0.147868297,0.375921841,0.252164767,0.263890251,0.192565419,0.508351623,0.072816737,0.495145088,0.029109002,0.422061371,0.072970525,0.486425155,0.46665214,0.368876313
3,1.00E-06,deep,19818,3125,6401,43,0.547378861,0.691569811,0.614875775,0.617944803,0.006898774,0.638068188,0.00721906,0.522143874,0.007054045,0.633375562,0.633038419,0.493994718,0.176028168,0.349067982,0.228112648,0.332890221,0.141622169,0.374674668,0.254734318,0.260695417,0.194417774,0.51071949,0.069165085,0.493850046,0.029327354,0.426498395,0.068458677,0.485189089,0.465079579,0.368454565
3,1.00E-05,deep,19818,3125,6401,4,0.555203944,0.692262727,0.614931741,0.618938023,0.007551546,0.63431087,0.007907378,0.520682698,0.007900376,0.628311988,0.628500157,0.489311661,0.18072199,0.357334726,0.224248585,0.300344267,0.14057452,0.384824391,0.232187452,0.258388261,0.17713759,0.502369572,0.072627826,0.495849929,0.032173694,0.419589931,0.070987149,0.484790207,0.464262378,0.368809184
3,1.00E-06,deep,19818,3125,6401,38,0.55352984,0.688481054,0.614972184,0.609342912,0.008541677,0.62892622,0.008770671,0.514923823,0.00857429,0.626285145,0.626071746,0.487716963,0.18152647,0.365806432,0.233919222,0.313996635,0.14854208,0.390058192,0.251163624,0.268750699,0.193211202,0.500417735,0.073374176,0.496465957,0.028774986,0.413504195,0.07369394,0.48944349,0.468568326,0.371871701
3,1.00E-06,deep,19818,3125,6401,42,0.548745401,0.690537245,0.615210106,0.615771372,0.007388125,0.636261646,0.007530814,0.520462007,0.00757014,0.631125464,0.631603966,0.492012448,0.180143237,0.361968043,0.229051069,0.325778078,0.144113768,0.38209089,0.256442589,0.262352303,0.195497846,0.510174778,0.071892473,0.494803771,0.029257354,0.424989404,0.071545561,0.485772303,0.465956486,0.368589246
3,1.00E-06,deep,19818,3125,6401,47,0.543636907,0.693832152,0.615567346,0.622260656,0.007037007,0.644444801,0.006208256,0.525732857,0.007114096,0.638354559,0.637816458,0.498233004,0.159971913,0.41871893,0.224190204,0.346886483,0.125182304,0.452616095,0.237435993,0.254856819,0.180012802,0.510801248,0.068090844,0.491589691,0.030079367,0.425180664,0.067519448,0.481425676,0.462106512,0.365138719
3,1.00E-06,deep,19818,3125,6401,36,0.556046809,0.687113512,0.615589013,0.605425272,0.0086006,0.624773706,0.009540099,0.512079015,0.008674353,0.622897051,0.622665478,0.484757005,0.187931234,0.320958898,0.236182571,0.305233777,0.150888533,0.338194668,0.252098353,0.272028033,0.192668213,0.499476197,0.068494924,0.497307764,0.028706569,0.413458951,0.067808771,0.493392038,0.469502302,0.376230899
3,1.00E-06,deep,19818,3125,6401,49,0.541488228,0.694847943,0.615714616,0.626377758,0.006651197,0.647243259,0.005801628,0.529083509,0.006708944,0.639606947,0.639724222,0.49943397,0.15113969,0.405212202,0.221914275,0.350383066,0.116093712,0.433724937,0.229942619,0.252103123,0.173360017,0.498945324,0.074763799,0.490693477,0.030564455,0.414743516,0.07387157,0.482366033,0.460555902,0.365704676
3,1.00E-06,deep,19818,3125,6401,40,0.550977237,0.689592765,0.615767777,0.615527571,0.006985913,0.632832508,0.008081981,0.519689479,0.007202966,0.629644445,0.629165221,0.490752164,0.178274867,0.359905544,0.231877142,0.324043437,0.141150603,0.384603701,0.254870804,0.265496854,0.194634532,0.510571416,0.062048682,0.495271096,0.028844435,0.425591725,0.058374876,0.48932825,0.467275396,0.371580994
3,1.00E-06,deep,19818,3125,6401,50,0.540910696,0.695013935,0.615784427,0.632388562,0.006468389,0.648540981,0.005616854,0.534958956,0.006650211,0.640735903,0.640616851,0.50030645,0.158953716,0.418897807,0.220840525,0.351597005,0.126624639,0.452361792,0.231246463,0.250774352,0.175301494,0.498556518,0.075452598,0.490302641,0.030863999,0.414536956,0.075451018,0.482667885,0.459885885,0.36586584
3,1.00E-06,deep,19818,3125,6401,28,0.568483252,0.682683562,0.615832732,0.591997186,0.010937347,0.605853693,0.013621553,0.497938081,0.011627198,0.607278851,0.606061348,0.471448429,0.187508113,0.346563758,0.244471436,0.271647118,0.146990188,0.356205466,0.259939727,0.284843765,0.197837736,0.492047292,0.074401144,0.498567095,0.029012997,0.404354673,0.083180943,0.493500889,0.470799875,0.378588525
3,1.00E-06,deep,19818,3125,6401,34,0.558870602,0.686260947,0.615862923,0.598026376,0.010147564,0.620594728,0.010343295,0.504065558,0.010374392,0.620158967,0.619194078,0.482315621,0.192232563,0.325858372,0.238312708,0.29918449,0.15444368,0.344734375,0.251066536,0.275260354,0.192462594,0.499671685,0.072154839,0.497565366,0.028524226,0.412746575,0.079574619,0.492774874,0.470041884,0.376224858
3,1.00E-06,deep,19818,3125,6401,30,0.565043026,0.684038914,0.616001326,0.593088281,0.012330815,0.611063057,0.012382406,0.499638408,0.013223226,0.611486698,0.610854746,0.475070876,0.211671322,0.353113351,0.242859982,0.282152561,0.169356636,0.372683409,0.254850621,0.281879225,0.193014458,0.48603178,0.075385739,0.49831851,0.028637615,0.396745605,0.082917658,0.493191114,0.470906611,0.378043592
3,1.00E-06,deep,19818,3125,6401,27,0.570202627,0.682212618,0.616156819,0.589241117,0.011961692,0.603023418,0.014330881,0.495112117,0.01269921,0.605603976,0.603432204,0.470030049,0.215927153,0.297221412,0.245354795,0.265381996,0.162163687,0.313831225,0.27224961,0.286323185,0.205067408,0.486494657,0.076076594,0.498685044,0.029340157,0.397788655,0.085089995,0.488994313,0.470618646,0.375069881
3,1.00E-06,deep,19818,3125,6401,26,0.572084772,0.681712407,0.616308626,0.588996947,0.01196469,0.600163644,0.015074174,0.49413939,0.012771541,0.603093645,0.600761983,0.467955676,0.21505867,0.297870423,0.246369804,0.260337683,0.161163252,0.316265479,0.27113463,0.287886301,0.204026917,0.479933035,0.077916938,0.498530695,0.029662345,0.392397073,0.084426475,0.490695234,0.470368009,0.376632615
3,1.00E-05,deep,19818,3125,6401,5,0.543703018,0.698279557,0.616546403,0.632181995,0.006584416,0.65254289,0.005066794,0.534154468,0.006577938,0.642550836,0.642811342,0.501867901,0.165186221,0.362572865,0.211133668,0.381439854,0.124935757,0.382271856,0.219367145,0.241444876,0.162356374,0.490369513,0.083301173,0.484241315,0.032771531,0.405294661,0.085323343,0.476998769,0.45200894,0.361452816
3,1.00E-06,deep,19818,3125,6401,25,0.574017951,0.680776146,0.616884409,0.586097015,0.013008036,0.597197243,0.015873287,0.491592709,0.013935523,0.601039964,0.597867915,0.466461,0.217372402,0.296414609,0.246859403,0.254087689,0.164963427,0.311476506,0.270780569,0.28913713,0.204202128,0.489841571,0.076892562,0.49847424,0.030069861,0.401687484,0.083529699,0.491527364,0.4699115,0.377172143
3,1.00E-05,deep,19818,3125,6401,3,0.571607296,0.684216441,0.61708569,0.600119216,0.010520674,0.615158012,0.011171072,0.50636894,0.010649439,0.614644584,0.614934665,0.477918184,0.207815707,0.327187941,0.241409741,0.300569282,0.16490217,0.342754874,0.25300451,0.276814808,0.192474303,0.49485956,0.0734614,0.496785457,0.029339088,0.406362188,0.080797698,0.494312806,0.469838549,0.377809214
3,1.00E-06,deep,19818,3125,6401,29,0.566619365,0.683206923,0.617479737,0.591627519,0.011344062,0.608410152,0.013005212,0.497471629,0.011926403,0.609235039,0.608364892,0.472981235,0.188181453,0.329822609,0.2433618,0.274642773,0.145991558,0.329626363,0.253695232,0.283356588,0.192817851,0.496466067,0.07235393,0.498644872,0.029072521,0.408901877,0.079755261,0.494021151,0.470783058,0.378964953
3,1.00E-06,deep,19818,3125,6401,46,0.544511778,0.69287375,0.617551805,0.617787137,0.00772651,0.642783412,0.006480916,0.521784834,0.007893748,0.636237021,0.636486119,0.49649195,0.178529832,0.360222131,0.225243289,0.337883981,0.143386163,0.377421107,0.240366173,0.256542765,0.183726032,0.51147726,0.070922921,0.492804261,0.030023979,0.426377334,0.07106639,0.483689149,0.463218907,0.367185941
