preferences,seed,learn_rate,model_type,train_pairs,dev_pairs,test_pairs,epoch_num,loss_train,loss_dev,loss_test,rho_train,rho_p_train,pcc_train,pcc_p_train,tau_train,tau_p_train,rho_train_global,pcc_train_global,tau_train_global,rho_dev,rho_p_dev,pcc_dev,pcc_p_dev,tau_dev,tau_p_dev,rho_dev_global,pcc_dev_global,tau_dev_global,rho_test,rho_p_test,pcc_test,pcc_p_test,tau_test,tau_p_test,rho_test_global,pcc_test_global,tau_test_global
all,1,1.00E-06,deep,18901,4667,5776,19,0.58995208,0.642524829,0.673703565,0.538796054,0.046258101,0.566107362,0.027944803,0.44782097,0.046980945,0.59108115,0.586333107,0.458940724,0.376029844,0.16839231,0.410367523,0.091695607,0.304143836,0.16873627,0.379390411,0.387195081,0.287567746,0.264667503,0.196000092,0.279561617,0.19409453,0.220143968,0.197587971,0.245324615,0.233067406,0.192747641
all,1,1.00E-06,deep,18901,4667,5776,18,0.592599712,0.643124723,0.673715243,0.529387436,0.060351058,0.562160399,0.029711677,0.440195408,0.058788076,0.587944252,0.583193255,0.456442011,0.374474724,0.166175388,0.409223178,0.092128174,0.301890629,0.166189963,0.382178477,0.386871016,0.289056335,0.272340454,0.206068991,0.277147415,0.188805349,0.22263516,0.204811241,0.24183469,0.230236546,0.189704917
all,1,1.00E-06,deep,18901,4667,5776,20,0.587491917,0.64216851,0.673766464,0.534793477,0.045511801,0.570363853,0.026121953,0.444920954,0.045288664,0.593751509,0.589431455,0.461485035,0.378156752,0.168382788,0.411355264,0.092708494,0.304593386,0.168700726,0.377983673,0.386624353,0.286780047,0.266420407,0.189184399,0.2816113,0.201873487,0.220942535,0.19035328,0.246744543,0.236459963,0.193935791
all,1,1.00E-06,deep,18901,4667,5776,17,0.595345375,0.643706946,0.674089844,0.528123085,0.0642599,0.557764156,0.031748593,0.440253299,0.063848189,0.585774705,0.57979165,0.454687214,0.362377825,0.174584793,0.407981946,0.092361736,0.291793702,0.173616156,0.381139884,0.386689076,0.288846943,0.274383051,0.199357011,0.274144781,0.182694291,0.222388769,0.197671083,0.235460296,0.22657731,0.183709033
all,1,1.00E-06,deep,18901,4667,5776,22,0.582915571,0.641377813,0.674215908,0.548111626,0.040799993,0.577421728,0.023255602,0.455836511,0.039441795,0.599266598,0.594853599,0.465992103,0.377424574,0.174765291,0.413450203,0.09124852,0.302877389,0.179325807,0.381557989,0.387751168,0.290385994,0.266716848,0.194337278,0.285129019,0.210165673,0.220097061,0.193987902,0.249546037,0.24002536,0.196397786
all,1,1.00E-06,deep,18901,4667,5776,21,0.585204439,0.641531119,0.674239345,0.541648742,0.045771683,0.573508771,0.024840384,0.450605148,0.045825958,0.596177094,0.591928714,0.463272832,0.37273548,0.178770657,0.412593006,0.090435573,0.299361972,0.181825166,0.379732698,0.387911291,0.288652085,0.266173005,0.197021524,0.283351562,0.202677126,0.219814627,0.19994133,0.251269398,0.237031762,0.198006078
all,1,1.00E-06,deep,18901,4667,5776,16,0.598368985,0.644484217,0.674360028,0.519552242,0.068804733,0.55275131,0.034265118,0.432578582,0.068524428,0.582221621,0.575839492,0.451670399,0.361594482,0.182502141,0.406703868,0.092002446,0.292774622,0.181686602,0.381302074,0.387065997,0.289367861,0.260210312,0.173102165,0.270403021,0.175182212,0.214834016,0.165528922,0.227400534,0.221657261,0.176203259
all,1,1.00E-06,deep,18901,4667,5776,23,0.580920125,0.641090408,0.674592382,0.555448784,0.039246467,0.580744181,0.02199003,0.463678127,0.037433916,0.601600426,0.597311757,0.468047586,0.3658654,0.18259986,0.414096616,0.09118393,0.292896777,0.183534979,0.385359725,0.387976803,0.292791917,0.27853308,0.160993237,0.286214038,0.213096482,0.232847377,0.151173452,0.248828686,0.241487478,0.195984111
all,1,1.00E-06,deep,18901,4667,5776,14,0.605043247,0.646608946,0.67484452,0.509361639,0.06584144,0.542764938,0.03971788,0.423020851,0.0667424,0.573929156,0.567911768,0.444752444,0.35657893,0.181113001,0.403527973,0.09212738,0.287356074,0.180406493,0.378033227,0.387178615,0.286223583,0.241777875,0.175054879,0.262653594,0.163246925,0.196504327,0.171262217,0.21691058,0.211924998,0.165587602
all,1,1.00E-06,deep,18901,4667,5776,15,0.601612012,0.645500559,0.67486116,0.51319948,0.067380038,0.548079743,0.036722884,0.425731354,0.068059194,0.578282172,0.572086203,0.448254577,0.355958274,0.187178618,0.40522901,0.092285154,0.286751254,0.185819565,0.381313333,0.386845583,0.289266245,0.247916409,0.175828067,0.266782,0.16961176,0.202777035,0.171939645,0.22182583,0.217396832,0.170793659
all,1,1.00E-06,deep,18901,4667,5776,24,0.57890374,0.640845163,0.674884353,0.555791913,0.036264613,0.583846481,0.020859436,0.462744117,0.035720105,0.603879667,0.599663876,0.469596365,0.374951632,0.179870303,0.414904932,0.090236451,0.299331797,0.186029157,0.390629832,0.388787713,0.297021424,0.275721492,0.162453453,0.28741522,0.21268893,0.230466807,0.155742762,0.248138201,0.242182206,0.195383206
all,1,1.00E-06,deep,18901,4667,5776,13,0.608806856,0.647995652,0.675368794,0.502419389,0.071952822,0.536478836,0.043555794,0.417141001,0.072914435,0.569079912,0.562917166,0.440609597,0.373414492,0.148215564,0.40170545,0.090994612,0.302649826,0.143962428,0.38017988,0.387568357,0.287885861,0.231723309,0.163600076,0.257805023,0.154767527,0.186033557,0.15065271,0.211469517,0.204729629,0.15889592
all,1,1.00E-06,deep,18901,4667,5776,25,0.577146919,0.640795384,0.675595338,0.562273384,0.034637316,0.586911541,0.019795081,0.470132998,0.033314519,0.605993453,0.601880177,0.47142464,0.371438306,0.176998522,0.415496923,0.090143017,0.298444577,0.180959778,0.38649218,0.388979018,0.29377015,0.269331632,0.165580449,0.288384621,0.213268293,0.223480122,0.159047214,0.24859605,0.243235114,0.195423413
all,1,1.00E-06,deep,18901,4667,5776,26,0.575335455,0.64056024,0.675792712,0.561007614,0.034326411,0.589779352,0.018793673,0.468841644,0.032855329,0.60724049,0.603973251,0.472482401,0.376504451,0.173252749,0.416174293,0.089476804,0.302183049,0.174631007,0.388181266,0.389684862,0.294830026,0.277458469,0.157312409,0.288996261,0.213584948,0.232523217,0.149509333,0.249299468,0.243607182,0.195676287
all,1,1.00E-06,deep,18901,4667,5776,12,0.612781473,0.649497104,0.675922521,0.494068366,0.080732113,0.531016319,0.047101453,0.410516437,0.082183418,0.56523702,0.558324937,0.437090416,0.372642095,0.152772744,0.399737638,0.091041428,0.301159358,0.15063098,0.379379943,0.38691953,0.288210971,0.236563918,0.159391284,0.252568284,0.149589289,0.191286563,0.147241355,0.210535793,0.198727914,0.15794853
all,1,1.00E-06,deep,18901,4667,5776,27,0.573615656,0.64079253,0.676243865,0.567038303,0.030040507,0.592831206,0.017780436,0.474637212,0.029284285,0.609332143,0.606131696,0.474216611,0.379437389,0.174068629,0.416456613,0.090229336,0.303642282,0.177332994,0.385645844,0.389504024,0.292836222,0.273918195,0.160715139,0.289662089,0.215803568,0.229146729,0.154205722,0.252029649,0.24497021,0.197608363
all,1,1.00E-06,deep,18901,4667,5776,28,0.572071893,0.640541704,0.676432227,0.564750501,0.030006615,0.595203635,0.017017773,0.473444748,0.028709676,0.610465313,0.607865969,0.475090654,0.370394603,0.183742774,0.417052077,0.089192989,0.295230896,0.189133779,0.384244774,0.390468048,0.291759802,0.277330804,0.159719828,0.289923227,0.215346585,0.23245618,0.153526658,0.250365055,0.244536085,0.196682536
all,1,1.00E-06,deep,18901,4667,5776,29,0.570466625,0.640666344,0.676717913,0.567779894,0.030959505,0.598171643,0.016112715,0.475900669,0.030029388,0.612028503,0.609848865,0.476584564,0.382287474,0.185011142,0.41723284,0.090427193,0.301820449,0.190211417,0.383783769,0.390066796,0.291231131,0.295046077,0.180312359,0.289910963,0.21864951,0.249088527,0.178355769,0.252604885,0.245470728,0.198693537
all,1,1.00E-06,deep,18901,4667,5776,11,0.617116672,0.651257293,0.676948551,0.483903127,0.085251963,0.524093418,0.052031161,0.401369213,0.086547033,0.560440294,0.55250603,0.433060283,0.367539048,0.144798207,0.39718124,0.090576792,0.294542649,0.141989628,0.376122352,0.386765973,0.28543582,0.232583862,0.163643244,0.246246679,0.142587523,0.187124382,0.152759067,0.211047981,0.189912535,0.158811544
all,1,1.00E-06,deep,18901,4667,5776,30,0.568993026,0.640781096,0.677596063,0.570181303,0.030164085,0.600530582,0.015397915,0.478099693,0.029040942,0.61405107,0.611549061,0.478223673,0.381722724,0.183501053,0.417714076,0.089769481,0.302337344,0.187999978,0.383095198,0.390738662,0.290603402,0.294694319,0.180195533,0.290225049,0.219013341,0.249519648,0.173171864,0.250070256,0.245312149,0.196117484
all,1,1.00E-06,deep,18901,4667,5776,31,0.567542047,0.640893634,0.677817134,0.572094376,0.028595147,0.603138487,0.014645588,0.479118884,0.028564612,0.61540217,0.613301985,0.479385146,0.392671586,0.177110909,0.417975744,0.090316899,0.315117228,0.18093376,0.38474811,0.390804904,0.292857108,0.284893621,0.186023694,0.290226309,0.221233501,0.241227932,0.184338204,0.247775788,0.245729001,0.193892461
all,1,1.00E-06,deep,18901,4667,5776,10,0.621787648,0.653450215,0.677826658,0.479973454,0.089940342,0.516740448,0.057853414,0.397859754,0.092452656,0.554187115,0.546334295,0.428050907,0.360040249,0.154556428,0.394092683,0.091285856,0.290691196,0.148956229,0.373481852,0.385999516,0.2839541,0.222664293,0.166138863,0.239135828,0.136543498,0.176738129,0.162348883,0.20400675,0.180507003,0.151726946
all,1,1.00E-06,deep,18901,4667,5776,32,0.566191977,0.640713698,0.678613705,0.572850512,0.028604874,0.605226668,0.014048031,0.479609775,0.02835177,0.616830178,0.614788941,0.480681388,0.389280472,0.178498852,0.418416056,0.089274447,0.313343415,0.182088083,0.382440785,0.391735968,0.291000801,0.284926664,0.18543549,0.290034817,0.221241247,0.241465681,0.182837694,0.247024091,0.24486305,0.193762489
all,1,1.00E-06,deep,18901,4667,5776,33,0.564875636,0.640964264,0.678765008,0.570946092,0.028660294,0.60761728,0.013404791,0.478510774,0.02841743,0.617535687,0.616354818,0.481472413,0.392356643,0.177072977,0.418523445,0.089989578,0.315852087,0.178231819,0.382959101,0.391616878,0.291354091,0.284632703,0.196019947,0.289746145,0.224025347,0.23971434,0.194787299,0.249583721,0.245035302,0.195990476
all,1,1.00E-06,deep,18901,4667,5776,9,0.62680462,0.655819798,0.679193951,0.472977589,0.112611482,0.508409117,0.065288054,0.393530584,0.112239985,0.547116262,0.539162551,0.422103106,0.360675778,0.154116718,0.390767526,0.092276694,0.290364448,0.149793553,0.381522853,0.38470793,0.290516269,0.247407465,0.130511235,0.230920084,0.132330965,0.195779869,0.122689799,0.192983394,0.169544518,0.14319053
all,1,1.00E-06,deep,18901,4667,5776,34,0.563609271,0.641114914,0.679313711,0.577722464,0.027470253,0.609749603,0.012845656,0.484005838,0.026751324,0.618698321,0.617783438,0.482391324,0.39163965,0.177791849,0.418743588,0.089888385,0.314510208,0.182565685,0.384956228,0.39208379,0.293123977,0.269093337,0.208392494,0.28918825,0.225804505,0.22991246,0.20195873,0.246635327,0.244231369,0.194151675
